# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,MDGIJXXVTA,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,56,17
# x,y,z,u,w
4.072421434937782081e+00, 7.012922224716463537e-01, 6.492441435540441397e-02, 1.399999999999999911e+00, 3.500000000000000000e+00
4.058571868523126902e+00, 9.757652972348767051e-01, -1.991408332724589891e-01, 1.399999999999999911e+00, 3.750000000000000000e+00
4.143400821264680900e+00, 1.094052602181343925e+00, -5.629128337236537494e-01, 1.399999999999999911e+00, 4.000000000000000000e+00
5.414250543311314168e+00, 1.407213213651951955e+00, -2.673564871194379911e-01, 1.600000000000000089e+00, 0.000000000000000000e+00
5.559839752754268893e+00, 1.290886607990353596e+00, -7.844652754742575951e-01, 1.600000000000000089e+00, 2.500000000000000000e-01
5.745629223820415632e+00, 9.632951159824698628e-01, -1.185139671643005155e+00, 1.600000000000000089e+00, 5.000000000000000000e-01
5.904492096885392449e+00, 5.104744752826224641e-01, -1.388286129624518583e+00, 1.600000000000000089e+00, 7.500000000000000000e-01
5.971678524191821325e+00, -1.376808634453373461e-15, -1.438140371620675761e+00, 1.600000000000000089e+00, 1.000000000000000000e+00
5.904492096885392449e+00, -5.104744752826252396e-01, -1.388286129624517695e+00, 1.600000000000000089e+00, 1.250000000000000000e+00
5.745629223820415632e+00, -9.632951159824719722e-01, -1.185139671643002934e+00, 1.600000000000000089e+00, 1.500000000000000000e+00
5.559839752754270670e+00, -1.290886607990354928e+00, -7.844652754742550416e-01, 1.600000000000000089e+00, 1.750000000000000000e+00
5.414250543311314168e+00, -1.407213213651952177e+00, -2.673564871194364367e-01, 1.600000000000000089e+00, 2.000000000000000000e+00
5.358818160147624354e+00, -1.239270135787311489e+00, 1.742364313951661470e-01, 1.600000000000000089e+00, 2.250000000000000000e+00
5.370354971120461229e+00, -8.768011270268092350e-01, 4.742207097755611334e-01, 1.600000000000000089e+00, 2.500000000000000000e+00
5.406568816734136362e+00, -4.469012077343051947e-01, 6.394155833950673218e-01, 1.600000000000000089e+00, 2.750000000000000000e+00
5.427373208336892851e+00, -1.046298663910484143e-16, 6.922536410678391539e-01, 1.600000000000000089e+00, 3.000000000000000000e+00
5.406568816734136362e+00, 4.469012077343064160e-01, 6.394155833950666556e-01, 1.600000000000000089e+00, 3.250000000000000000e+00
5.370354971120461229e+00, 8.768011270268096791e-01, 4.742207097755610778e-01, 1.600000000000000089e+00, 3.500000000000000000e+00
5.358818160147624354e+00, 1.239270135787311933e+00, 1.742364313951657584e-01, 1.600000000000000089e+00, 3.750000000000000000e+00
5.414250543311313280e+00, 1.407213213651951955e+00, -2.673564871194379911e-01, 1.600000000000000089e+00, 4.000000000000000000e+00
6.475376348185418962e+00, 1.604790941835354534e+00, -1.972819672131163188e-02, 1.800000000000000044e+00, 0.000000000000000000e+00
6.523779860346718529e+00, 1.478773773811500547e+00, -6.008498598029834437e-01, 1.800000000000000044e+00, 2.500000000000000000e-01
6.585959100550821788e+00, 1.110874636020813044e+00, -1.067672754675493829e+00, 1.800000000000000044e+00, 5.000000000000000000e-01
6.639159208470617912e+00, 5.906483977098255789e-01, -1.345604538724122889e+00, 1.800000000000000044e+00, 7.500000000000000000e-01
6.661644254750947347e+00, -1.816761599100512860e-15, -1.433281461962628844e+00, 1.800000000000000044e+00, 1.000000000000000000e+00
